id	category	brand	name	imageState	overlayHit	imageUrl
decware-se84ufo	amplifier	Decware	SE84UFO	commented-todo	URL	
ampsandsound-stereo-17	amplifier	ampsandsound	Stereo 17	absent	URL	
linear-tube-audio-z10	amplifier	Linear Tube Audio	Z10	commented-todo		
linear-tube-audio-z40-plus	amplifier	Linear Tube Audio	Z40+	absent	URL	
leben-cs300	amplifier	Leben	CS300	commented-todo	URL	
leben-cs600x	amplifier	Leben	CS600X	commented-todo	URL	
aurorasound-hfsa-01	amplifier	Aurorasound	HFSA-01	absent	URL	
rogue-audio-cronus-magnum-iii	amplifier	Rogue Audio	Cronus Magnum III	absent	URL	
primaluna-evo-300	amplifier	PrimaLuna	EVO 300 Integrated	absent	URL	
cayin-a88t-mk2	amplifier	Cayin	A-88T MK2	absent	URL	
line-magnetic-lm211ia	amplifier	Line Magnetic	LM-211IA	absent	URL	
scott-222b	amplifier	Scott	222B / 222C	absent	URL	
schiit-aegir	amplifier	Schiit	Aegir	commented-todo	URL	
first-watt-sit-3	amplifier	First Watt	SIT-3	absent	URL	
hegel-h190	amplifier	Hegel	H190	catalog-url	URL	https://www.hegel.com/images/products/h190v/H190vFront.jpg
job-integrated	amplifier	JOB	Integrated	absent	URL	
goldmund-job-225	amplifier	Goldmund / JOB	225	absent	URL	
crayon-cia-1t	amplifier	Crayon Audio	CIA-1T	absent	URL	
trends-ta-10	amplifier	Trends Audio	TA-10	absent		
hegel-rost	amplifier	Hegel	Rost	catalog-url	URL	https://www.hegel.com/images/products/discontinued/Rost.jpg
marantz-2220b	amplifier	Marantz	2220B	absent	URL	
kinki-studio-ex-m1-plus	amplifier	Kinki Studio	EX-M1+	absent	URL	
kinki-studio-ex-m1	amplifier	Kinki Studio	EX-M1	absent	URL	
kinki-studio-dazzle	amplifier	Kinki Studio	Dazzle	absent	URL	
enleum-amp-23r	amplifier	Enleum	AMP-23R	absent	URL	
grandinote-shinai	amplifier	Grandinote	Shinai	absent	URL	
goldmund-telos-590	amplifier	Goldmund	Telos 590 NextGen II	absent	URL	
soulution-330	amplifier	Soulution	330	absent	URL	
dartzeel-cth-8550	amplifier	darTZeel	CTH-8550	absent	URL	
vinnie-rossi-l2i-se	amplifier	Vinnie Rossi	L2i-SE	absent	URL	
shindo-cortese	amplifier	Shindo	Cortese	absent	URL	
ayre-vx-5-twenty	amplifier	Ayre	VX-5 Twenty	absent	URL	
boulder-866	amplifier	Boulder	866	absent	URL	
primare-i35	amplifier	Primare	i35	absent	URL	
electrocompaniet-eci-6	amplifier	Electrocompaniet	ECI 6	absent	URL	
naim-nait-xs-3	amplifier	Naim	Nait XS 3	commented-todo	URL	
naim-supernait-3	amplifier	Naim	SuperNait 3	commented-todo	URL	
quad-va-one-plus	amplifier	Quad	VA-One+	absent	URL	
rotel-a11-tribute	amplifier	Rotel	A11 Tribute	absent	URL	
mcintosh-ma252	amplifier	McIntosh	MA252	catalog-url	URL	https://www.mcintoshlabs.com/-/media/images/mcintoshlabs/products/productimages/ma252/ma252-front.jpg
mcintosh-ma12000	amplifier	McIntosh	MA12000	catalog-url	URL	https://www.mcintoshlabs.com/-/media/images/mcintoshlabs/products/productimages/ma12000/ma12000-front.jpg
cambridge-audio-cxa81	amplifier	Cambridge Audio	CXA81	absent	URL	
audiolab-6000a	amplifier	Audiolab	6000A	absent	URL	
nad-c-316bee-v2	amplifier	NAD	C 316BEE V2	absent	URL	
nad-c-3050	amplifier	NAD	C 3050	absent	URL	
bottlehead-crack	amplifier	Bottlehead	Crack	absent	URL	
yamamoto-a-08s	amplifier	Yamamoto	A-08S	absent	URL	
goldmund-telos-390	amplifier	Goldmund	Telos 390	absent		
